schema	grug_wp40_extreme_puc_rescore_v3
status	passed
scope	T2C_E0_PUC_ROW_CONFORMANCE_ONLY
pool_measurement_commit	19fc28d1e1ecb2a18c7bb208d21c448cce12bc7d
pool_measurement_tree	bca04056315412b9f19f20bbe554b0693f658c17
pool_authority_dag_sha256	069cce2d637d30538131defbbba0a64bb9cc65f22c71a00fd287183d2518e20a
s1_authority_sha256	10a790a6436a740efc83e98afe3c374ac4b3520bb425de3d2bd0ac76622db37c
s1_source_projection_sha256	83b1b16a8afd11af654b5dd3e1d9921006848a0903e7b0c01ab39b27edddd652
conformance_commit	db9c344499e7f76418e4f11e822e7492e777161b
conformance_tree	35d1c482d64c51f6c3b19788cd4a2917ced65a74
conformance_dag_sha256	0f84ae5b1bdcf85725a6572636d4f24be5bb18882e16df3466ccafd9fe209398
execution_authority_dag_sha256	8b1f5faee70d7f5f0b256dfdc6aaa76db0e4f651b3b24fd2cb1680a6651fd6ff
artifact_sha256	5b5241b35ea036ea08c7128b4900fa578dbe134b28b5cf8a99767290e155e027
manifest_sha256	c8f6185287e4471b0aac2d71c2cceb62114ece566bdbb2ad9e69c5a1c79e0f77
candidate_rows_sha256	b08e142a16da23f5b7f07c3ec2e6f894705130d1d72fe409998fb5f028deada3
interpreter_id	puc_lua51
interpreter_path	/home/jan/projects/grudgelands/tools/bin/lua51
interpreter_version	Lua 5.1.5  Copyright (C) 1994-2012 Lua.org, PUC-Rio
interpreter_sha256	a1a427f38260513b64158630bc2b7d2fccfa31b48129efbfbcc60e02e4960a4f
candidate_index	2048
candidate_decimal	12868177971105186822
candidate_role	endpoint
expected_row_sha256	756a21e9eb77a540fb670dc67c5d3084374061171628f550c8b132e554724b48
rescored_row_sha256	756a21e9eb77a540fb670dc67c5d3084374061171628f550c8b132e554724b48
